supermercado,marca,presentacion,precio
exito,michelob,Cerveza MICHELOB ULTRA sixpack (1980 ml),18900
exito,michelob,Cerveza MICHELOB ULTRA six pack (1614 ml),16500
exito,michelob,Cerveza MICHELOB ULTRA internacional (269 ml),2930
exito,michelob,Cerveza MICHELOB ULTRA botella (330 ml),3880
exito,michelob,Cerveza MICHELOB ULTRA Ultra Nrb X6 (1260 ml),16500
exito,michelob,Cerveza MICHELOB ULTRA Ultra Nrb Und (210 ml),4100
exito,stella artois,Cerveza STELLA ARTOIS botella six pack (1800 ml),25800
exito,stella artois,Cerveza STELLA ARTOIS lata (1614 ml),21550
exito,stella artois,Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),102168
exito,stella artois,Cerveza STELLA ARTOIS botella (300 ml),4150
exito,stella artois,Cerveza STELLA ARTOIS lata (269 ml),3810
exito,stella artois,Cerveza Belgica Sixpack STELLA ARTOIS 1980 ml,30300
exito,stella artois,Cerveza STELLA ARTOIS botella (330 ml),5050
exito,club colombia,Cerveza CLUB COLOMBIA lata dorada (1980 ml),22800
exito,club colombia,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,19900
exito,club colombia,Cerveza CLUB COLOMBIA trigo six pack (1980 ml),23400
exito,club colombia,Cerveza DORADA CLUB COLOMBIA LATA x 24 unds (7.920 ml),90288
exito,club colombia,Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),30300
exito,club colombia,Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),26850
exito,club colombia,Cerveza CLUB COLOMBIA lata dorada (330 ml),3800
exito,club colombia,Cerveza CLUB COLOMBIA trigo (330 ml),3900
exito,club colombia,Combo Mundial 2 Cerveza CLUB COLOMBIA lata dorada (1980 + Pasabocas DETODITO de BBQ (165 gr) + Maní LA ESPECIAL con sal (180 gr),38650
exito,club colombia,Cerveza CLUB COLOMBIA lata roja (330 ml),3900
exito,club colombia,Cerveza CLUB COLOMBIA botella dorada (330 ml),4480
exito,club colombia,Cerveza CLUB COLOMBIA latón dorada (473 ml),5050
carulla,michelob,Cerveza MICHELOB ULTRA sixpack (1980 ml),18900
carulla,michelob,Cerveza MICHELOB ULTRA six pack (1614 ml),16700
carulla,michelob,Cerveza MICHELOB ULTRA internacional (269 ml),3000
carulla,michelob,Cerveza MICHELOB ULTRA botella (330 ml),3600
carulla,stella artois,Cerveza STELLA ARTOIS botella six pack (1800 ml),25800
carulla,stella artois,Cerveza STELLA ARTOIS lata (1614 ml),22800
carulla,stella artois,Cerveza STELLA ARTOIS botella (300 ml),4400
carulla,stella artois,Cerveza STELLA ARTOIS lata (269 ml),3930
carulla,stella artois,Cerveza STELLA ARTOIS botella (330 ml),5300
carulla,club colombia,Cerveza CLUB COLOMBIA lata dorada (1980 ml),22800
carulla,club colombia,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,19900
carulla,club colombia,Cerveza CLUB COLOMBIA trigo six pack (1980 ml),23400
carulla,club colombia,Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),27700
carulla,club colombia,Cerveza CLUB COLOMBIA lata negra (330 ml),3900
carulla,club colombia,Cerveza CLUB COLOMBIA trigo (330 ml),3900
carulla,club colombia,Cerveza CLUB COLOMBIA lata dorada (330 ml),3800
carulla,club colombia,Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),31900
carulla,club colombia,Cerveza CLUB COLOMBIA lata roja (330 ml),4000
carulla,club colombia,Cerveza CLUB COLOMBIA botella dorada (330 ml),4700
carulla,club colombia,Cerveza CLUB COLOMBIA latón dorada (473 ml),5400
carulla,club colombia,Cerveza CLUB COLOMBIA lata negra (1980 ml),22200
jumbo,michelob,Cerveza Michelob Ultra Botella 330 ml x6,22490
jumbo,stella artois,Cerveza Stella Artois Botella Sixpack x300ml c-u,25290
jumbo,stella artois,Cerveza Stella Artois Sixpack Lata x269ml c-u,22800
jumbo,stella artois,Cerveza Stella Artois botella x330ml,5100
jumbo,stella artois,Cerveza Stella Artois Lata x269ml,3700
jumbo,stella artois,Cerveza Stella Artois Botella x300ml,4500
jumbo,club colombia,Cerveza Club Colombia Dorada lata x6und x330ml c-u,23400
jumbo,club colombia,Cerveza Club Colombia Roja lata x6und x330ml,23400
jumbo,club colombia,Cerveza Club Colombia Trigo Lata 330ml x6 Und,23990
jumbo,club colombia,Cerveza Club Colombia Dorada x6und x330ml c-u,24550
jumbo,club colombia,Cerveza Club Colombia Lata 6 Unidades 473 C-U,29400
jumbo,club colombia,Cerveza Club Colombia Lata 473 ml,3990
jumbo,club colombia,Cerveza Club Colombia Roja lata x330ml,3790
jumbo,club colombia,Cerveza Club Colombia Trigo Lata 330ml x1 Und,3690
jumbo,club colombia,Cerveza Club Colombia Dorada botella x330ml,4090
jumbo,club colombia,Cerveza Club Colombia Dorada lata x330ml,3790
