fecha;high;low
2024-01-01;21,4;9,5
2024-01-02;22,1;10,3
2024-01-03;22,0;8,5
2024-01-04;21,9;9,6
2024-01-05;21,4;7,6
2024-01-06;22,5;6,7
2024-01-07;20,7;4,9
2024-01-08;21,8;5,1
2024-01-09;21,8;5,7
2024-01-10;22,8;6,2
2024-01-11;23,5;6,9
2024-01-12;22,3;7,7
2024-01-13;20,7;7,7
2024-01-14;22,5;9,2
2024-01-15;22,9;5,7
2024-01-16;21,5;4,9
2024-01-17;22,8;4,6
2024-01-18;23,4;6,3
2024-01-19;22,3;6,0
2024-01-20;22,4;6,8
2024-01-21;21,2;9,7
2024-01-22;23,3;7,9
2024-01-23;23,1;4,3
2024-01-24;24,6;4,1
2024-01-25;26,1;6,5
2024-01-26;24,6;6,5
2024-01-27;24,8;5,4
2024-01-28;25,0;9,8
2024-01-29;24,7;10,1
2024-01-30;24,7;9,1
2024-01-31;23,9;7,5
2025-01-01;22,3;7,6
2025-01-02;21,4;9,0
2025-01-03;18,4;8,6
2025-01-04;19,5;7,9
2025-01-05;18,3;9,2
2025-01-06;20,0;9,9
2025-01-07;21,6;6,8
2025-01-08;20,2;10,1
2025-01-09;20,6;11,3
2025-01-10;21,2;10,5
2025-01-11;21,8;8,2
2025-01-12;22,2;6,3
2025-01-13;22,1;6,3
2025-01-14;21,5;7,2
2025-01-15;21,3;9,3
2025-01-16;21,7;9,9
2025-01-17;21,1;9,5
2025-01-18;21,5;8,6
2025-01-19;22,4;6,0
2025-01-20;22,0;4,4
2025-01-21;21,8;8,3
2025-01-22;21,8;3,9
2025-01-23;20,8;4,5
2025-01-24;21,2;7,2
2025-01-25;21,3;8,2
2025-01-26;20,2;9,6
2025-01-27;19,1;9,2
2025-01-28;20,7;8,3
2025-01-29;19,7;8,5
2025-01-30;21,6;6,7
2025-01-31;20,3;9,4
2024-02-01;23,1;10,9
2024-02-02;21,0;11,0
2024-02-03;21,8;10,7
2024-02-04;20,7;10,8
2024-02-05;19,3;10,3
2024-02-06;20,4;8,9
2024-02-07;21,9;8,7
2024-02-08;22,1;10,9
2024-02-09;22,3;9,5
2024-02-10;21,5;10,4
2024-02-11;22,5;6,5
2024-02-12;23,8;7,5
2024-02-13;24,3;7,9
2024-02-14;20,7;8,1
2024-02-15;21,7;8,7
2024-02-16;20,7;10,7
2024-02-17;20,4;11,1
2024-02-18;23,2;8,5
2024-02-19;24,8;6,9
2024-02-20;24,1;7,9
2024-02-21;22,6;10,9
2024-02-22;22,4;10,0
2024-02-23;24,3;10,4
2024-02-24;22,1;10,7
2024-02-25;22,0;8,5
2024-02-26;23,8;7,1
2024-02-27;21,9;10,5
2024-02-28;22,4;10,8
2024-02-29;23,9;9,9
2025-02-01;21,6;7,4
2025-02-02;23,1;9,8
2025-02-03;22,5;10,2
2025-02-04;22,5;11,0
2025-02-05;22,5;11,5
2025-02-06;23,0;10,9
2025-02-07;21,9;12,4
2025-02-08;20,8;11,3
2025-02-09;19,8;11,3
2025-02-10;18,8;11,1
2025-02-11;18,0;11,5
2025-02-12;20,1;10,7
2025-02-13;19,1;11,7
2025-02-14;19,6;10,1
2025-02-15;18,4;10,3
2025-02-16;19,7;10,5
2025-02-17;19,2;9,3
2025-02-18;20,8;9,6
2025-02-19;21,8;8,6
2025-02-20;20,4;9,2
2025-02-21;21,0;9,8
2025-02-22;18,4;9,2
2025-02-23;19,6;9,2
2025-02-24;20,2;10,0
2025-02-25;20,2;10,1
2025-02-26;21,3;9,3
2025-02-27;20,1;11,0
2025-02-28;20,3;10,3
2024-03-01;23,3;8,4
2024-03-02;23,7;7,3
2024-03-03;21,7;10,9
2024-03-04;22,0;10,0
2024-03-05;22,3;11,8
2024-03-06;23,8;10,6
2024-03-07;22,7;8,6
2024-03-08;22,2;8,9
2024-03-09;21,7;10,4
2024-03-10;22,7;10,3
2024-03-11;22,2;9,6
2024-03-12;22,5;8,6
2024-03-13;21,9;9,0
2024-03-14;21,4;9,9
2024-03-15;23,6;8,7
2024-03-16;22,6;8,1
2024-03-17;22,9;8,3
2024-03-18;23,0;7,7
2024-03-19;23,0;9,1
2024-03-20;25,3;7,0
2024-03-21;20,8;10,5
2024-03-22;26,2;9,4
