fecha,high,low,url_origen
2024-01-01,21,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-02,31,12,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-03,19,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-04,20,9,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-05,20,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-06,20,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-07,17,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-08,19,11,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-09,21,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-10,20,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-11,20,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-12,21,11,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-13,20,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-14,20,10,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-15,18,9,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-16,18,7,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-17,19,7,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-18,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-19,18,7,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-20,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-21,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-22,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-23,18,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-24,17,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-25,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-26,19,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-27,18,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-28,17,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-29,17,9,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-01-30,18,8,https://www.accuweather.com/es/co/bogota/107487/january-weather/107487?year=2024
2024-02-01,21,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-02,31,12,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-03,19,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-04,20,9,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-05,20,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-06,20,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-07,17,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-08,19,11,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-09,21,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-10,20,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-11,20,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-12,21,11,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-13,20,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-14,20,10,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-15,18,9,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-16,18,7,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-17,19,7,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-18,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-19,18,7,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-20,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-21,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-22,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-23,18,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-24,17,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-25,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-26,19,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-27,18,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-28,17,8,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-02-29,17,9,https://www.accuweather.com/es/co/bogota/107487/february-weather/107487?year=2024
2024-03-01,21,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-02,31,12,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-03,19,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-04,20,9,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-05,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-06,20,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-07,17,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-08,19,11,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-09,21,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-10,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-11,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-12,21,11,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-13,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-14,20,10,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-15,18,9,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-16,18,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-17,19,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-18,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-19,18,7,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-20,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-21,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-22,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-23,18,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-24,17,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-25,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-26,19,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
2024-03-27,18,8,https://www.accuweather.com/es/co/bogota/107487/march-weather/107487?year=2024
