presentacion,precio_texto,termino_busqueda,supermercado
Cerveza Michelob Ultra Botella 330 ml x6,$ 22.490,michelob,Jumbo
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,michelob,Éxito
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 16.500,michelob,Éxito
Cerveza MICHELOB ULTRA internacional (269 ml),$ 2.930,michelob,Éxito
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.880,michelob,Éxito
Cerveza MICHELOB ULTRA Ultra Nrb X6 (1260 ml),$ 16.500,michelob,Éxito
Cerveza MICHELOB ULTRA Ultra Nrb Und (210 ml),$ 4.100,michelob,Éxito
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,michelob,Carulla
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 16.700,michelob,Carulla
Cerveza MICHELOB ULTRA internacional (269 ml),$ 3.000,michelob,Carulla
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.600,michelob,Carulla
Cerveza Stella Artois Botella Sixpack x300ml c-u,$ 25.290,stella artois,Jumbo
Cerveza Stella Artois Sixpack Lata x269ml c-u,$ 22.800,stella artois,Jumbo
Cerveza Stella Artois botella x330ml,$ 5.100,stella artois,Jumbo
Cerveza Stella Artois Lata x269ml,$ 3.700,stella artois,Jumbo
Cerveza Stella Artois Botella x300ml,$ 4.500,stella artois,Jumbo
Cerveza STELLA ARTOIS botella six pack (1800 ml),$ 25.800,stella artois,Éxito
Cerveza STELLA ARTOIS lata (1614 ml),$ 20.450,stella artois,Éxito
Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),$ 102.168,stella artois,Éxito
Cerveza STELLA ARTOIS botella (300 ml),$ 4.150,stella artois,Éxito
Cerveza STELLA ARTOIS lata (269 ml),$ 3.810,stella artois,Éxito
Cerveza Belgica Sixpack STELLA ARTOIS 1980 ml,$ 30.300,stella artois,Éxito
Cerveza STELLA ARTOIS botella (330 ml),$ 5.050,stella artois,Éxito
Cerveza STELLA ARTOIS botella six pack (1800 ml),$ 25.800,stella artois,Carulla
Cerveza STELLA ARTOIS lata (1614 ml),$ 22.800,stella artois,Carulla
Cerveza STELLA ARTOIS lata (269 ml),$ 3.930,stella artois,Carulla
Cerveza STELLA ARTOIS botella (300 ml),$ 4.400,stella artois,Carulla
Cerveza STELLA ARTOIS botella (330 ml),$ 5.300,stella artois,Carulla
Cerveza Club Colombia Dorada lata x6und x330ml c-u,$ 22.800,club colombia,Jumbo
Cerveza Club Colombia Roja lata x6und x330ml,$ 23.400,club colombia,Jumbo
Cerveza Club Colombia Trigo Lata 330ml x6 Und,$ 23.990,club colombia,Jumbo
Cerveza Club Colombia Dorada x6und x330ml c-u,$ 24.550,club colombia,Jumbo
Cerveza Club Colombia Lata 6 Unidades 473 C-U,$ 29.400,club colombia,Jumbo
Cerveza Club Colombia Lata 473 ml,$ 3.990,club colombia,Jumbo
Cerveza Club Colombia Roja lata x330ml,$ 3.790,club colombia,Jumbo
Cerveza Club Colombia Trigo Lata 330ml x1 Und,$ 3.690,club colombia,Jumbo
Cerveza Club Colombia Dorada botella x330ml,$ 4.090,club colombia,Jumbo
Cerveza Club Colombia Dorada lata x330ml,$ 3.790,club colombia,Jumbo
Cerveza CLUB COLOMBIA lata dorada (1980 ml),$ 22.200,club colombia,Éxito
Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,$ 22.200,club colombia,Éxito
Cerveza CLUB COLOMBIA trigo six pack (1980 ml),$ 23.400,club colombia,Éxito
Cerveza DORADA CLUB COLOMBIA LATA x 24 unds (7.920 ml),$ 87.912,club colombia,Éxito
Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),$ 30.300,club colombia,Éxito
Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),$ 26.850,club colombia,Éxito
Cerveza CLUB COLOMBIA lata dorada (330 ml),$ 3.800,club colombia,Éxito
Cerveza CLUB COLOMBIA trigo (330 ml),$ 3.900,club colombia,Éxito
Combo Mundial 2 Cerveza CLUB COLOMBIA lata dorada (1980 + Pasabocas DETODITO de BBQ (165 gr) + Maní LA ESPECIAL con sal (180 gr),$ 38.056,club colombia,Éxito
Cerveza CLUB COLOMBIA lata roja (330 ml),$ 3.700,club colombia,Éxito
Cerveza CLUB COLOMBIA botella dorada (330 ml),$ 4.480,club colombia,Éxito
Cerveza CLUB COLOMBIA latón dorada (473 ml),$ 5.050,club colombia,Éxito
Cerveza CLUB COLOMBIA lata dorada (1980 ml),$ 22.200,club colombia,Carulla
Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,$ 22.200,club colombia,Carulla
Cerveza CLUB COLOMBIA trigo six pack (1980 ml),$ 23.400,club colombia,Carulla
Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),$ 27.700,club colombia,Carulla
Cerveza CLUB COLOMBIA lata negra (330 ml),$ 3.900,club colombia,Carulla
Cerveza CLUB COLOMBIA trigo (330 ml),$ 3.900,club colombia,Carulla
Cerveza CLUB COLOMBIA lata dorada (330 ml),$ 3.800,club colombia,Carulla
Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),$ 31.900,club colombia,Carulla
Cerveza CLUB COLOMBIA lata roja (330 ml),$ 3.700,club colombia,Carulla
Cerveza CLUB COLOMBIA botella dorada (330 ml),$ 4.700,club colombia,Carulla
Cerveza CLUB COLOMBIA latón dorada (473 ml),$ 5.400,club colombia,Carulla
Cerveza CLUB COLOMBIA lata negra (1980 ml),$ 22.200,club colombia,Carulla
