presentacion,precio_texto,termino_busqueda,supermercado,precio,volumen_ml_base,es_pack_x6,volumen_parece_unitario,volumen_ml,precio_por_ml
Cerveza Michelob Ultra Botella 330 ml x6,$ 22.490,michelob,Jumbo,22490,330,TRUE,TRUE,1980,11.36
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,michelob,Éxito,18900,1980,TRUE,FALSE,1980,9.55
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 16.500,michelob,Éxito,16500,1614,TRUE,FALSE,1614,10.22
Cerveza MICHELOB ULTRA internacional (269 ml),$ 2.930,michelob,Éxito,2930,269,FALSE,TRUE,269,10.89
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.880,michelob,Éxito,3880,330,FALSE,TRUE,330,11.76
Cerveza MICHELOB ULTRA Ultra Nrb X6 (1260 ml),$ 16.500,michelob,Éxito,16500,1260,TRUE,FALSE,1260,13.1
Cerveza MICHELOB ULTRA Ultra Nrb Und (210 ml),$ 4.100,michelob,Éxito,4100,210,FALSE,TRUE,210,19.52
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,michelob,Carulla,18900,1980,TRUE,FALSE,1980,9.55
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 16.700,michelob,Carulla,16700,1614,TRUE,FALSE,1614,10.35
Cerveza MICHELOB ULTRA internacional (269 ml),$ 3.000,michelob,Carulla,3000,269,FALSE,TRUE,269,11.15
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.600,michelob,Carulla,3600,330,FALSE,TRUE,330,10.91
Cerveza Stella Artois Botella Sixpack x300ml c-u,$ 25.290,stella artois,Jumbo,25290,300,TRUE,TRUE,1800,14.05
Cerveza Stella Artois Sixpack Lata x269ml c-u,$ 22.800,stella artois,Jumbo,22800,269,TRUE,TRUE,1614,14.13
Cerveza Stella Artois botella x330ml,$ 5.100,stella artois,Jumbo,5100,330,FALSE,TRUE,330,15.45
Cerveza Stella Artois Lata x269ml,$ 3.700,stella artois,Jumbo,3700,269,FALSE,TRUE,269,13.75
Cerveza Stella Artois Botella x300ml,$ 4.500,stella artois,Jumbo,4500,300,FALSE,TRUE,300,15
Cerveza STELLA ARTOIS botella six pack (1800 ml),$ 25.800,stella artois,Éxito,25800,1800,TRUE,FALSE,1800,14.33
Cerveza STELLA ARTOIS lata (1614 ml),$ 20.450,stella artois,Éxito,20450,1614,FALSE,FALSE,1614,12.67
Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),$ 102.168,stella artois,Éxito,102168,920,FALSE,FALSE,920,111.05
Cerveza STELLA ARTOIS botella (300 ml),$ 4.150,stella artois,Éxito,4150,300,FALSE,TRUE,300,13.83
Cerveza STELLA ARTOIS lata (269 ml),$ 3.810,stella artois,Éxito,3810,269,FALSE,TRUE,269,14.16
Cerveza Belgica Sixpack STELLA ARTOIS 1980 ml,$ 30.300,stella artois,Éxito,30300,1980,TRUE,FALSE,1980,15.3
Cerveza STELLA ARTOIS botella (330 ml),$ 5.050,stella artois,Éxito,5050,330,FALSE,TRUE,330,15.3
