presentacion,precio_actual,precio_lista,descuento_pct,enlace,supermercado,cerveza
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 13.200,$ 17.050,22,/cerveza-michelob-ultra-internacional-1614-ml-3189430/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,$ 22.600,16,/cerveza-ultra-nrb-330-x6-michelob-ultra-cerveza-ultra-nrb-330-x6-198-ml-3243361/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA internacional (269 ml),$ 2.930,NA,NA,/cerveza-michelob-ultra-internacional-269-ml-3189429/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.880,NA,NA,/cerveza-ultra-nrb-michelob-ultra-cerveza-ultra-nrb-330-ml-3243360/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA Ultra Nrb X6 (1260 ml),$ 16.500,NA,NA,/cerveza-michelob-ultra-ultra-nrb-x6-126-ml-3261508/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA Ultra Nrb Und (210 ml),$ 4.100,NA,NA,/cerveza-michelob-ultra-ultra-nrb-und-210-ml-3261509/p,exito,cerveza michelob
Cerveza MICHELOB ULTRA sixpack (1980 ml),$ 18.900,$ 22.600,16,/cerveza-ultra-nrb-330-x6-michelob-ultra-cerveza-ultra-nrb-330-x6-198-ml-3243361/p,carulla,cerveza michelob
Cerveza MICHELOB ULTRA six pack (1614 ml),$ 13.360,$ 16.700,20,/cerveza-michelob-ultra-internacional-1614-ml-3189430/p,carulla,cerveza michelob
Cerveza MICHELOB ULTRA botella (330 ml),$ 3.600,NA,NA,/cerveza-ultra-nrb-michelob-ultra-cerveza-ultra-nrb-330-ml-3243360/p,carulla,cerveza michelob
Cerveza MICHELOB ULTRA internacional (269 ml),$ 3.000,NA,NA,/cerveza-michelob-ultra-internacional-269-ml-3189429/p,carulla,cerveza michelob
Cerveza Michelob Ultra Botella 330 ml x6,$ 22.490,,NA,/cerveza-michelob-ultra-botella-330-ml-x6-424412/p,jumbo,cerveza michelob
Cerveza Michelob Ultra Lata x6 Und x269ml,$ 16.490,,NA,/cerveza-michelob-ultra-lata-x6-und-x269ml/p,jumbo,cerveza michelob
Cerveza Michelob Ultra Lata x269ml,$ 2.790,,NA,/cerveza-michelob-ultra-lata-x269ml/p,jumbo,cerveza michelob
Cerveza Heineken Botella 6Und 250ml,$ 19.490,,NA,/cerveza-heineken-botella-6und-250ml-380635/p,jumbo,cerveza michelob
Cerveza Heineken Botella 6und 330ml,$ 25.000,,NA,/cerveza-heineken-botella-6und-330-380591/p,jumbo,cerveza michelob
Cerveza Mahou 5 estrellas sixpack botella x330ml,$ 28.490,$ 40.700,-30%,/cerveza-mahou-5-estrellas-sixpack-bot-x-330ml/p,jumbo,cerveza michelob
Cerveza Heineken Botella 330ml,$ 4.090,,NA,/cerveza-heineken-botella-330ml-380607/p,jumbo,cerveza michelob
Cerveza Heineken Lata 6Und 473ml,$ 27.600,,NA,/cerveza-heineken-lata-6und-473ml-376217/p,jumbo,cerveza michelob
Cerveza STELLA ARTOIS botella six pack (1800 ml),$ 21.930,$ 25.800,15,/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,exito,stella artois
Cerveza STELLA ARTOIS lata (1614 ml),$ 22.800,NA,NA,/cerveza-belgica-lata-x6-stella-artois-1614-ml-3155263/p,exito,stella artois
Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),$ 102.168,$ 103.200,NA,/cerveza-stella-artois-botella-x-24-unds--7-920-ml-/p,exito,stella artois
Cerveza STELLA ARTOIS botella (300 ml),$ 4.150,NA,NA,/cerveza-belgica-botella-stella-artois-300-ml-3155261/p,exito,stella artois
Cerveza STELLA ARTOIS lata (269 ml),$ 3.800,$ 3.810,NA,/cerveza-belgica-lata-stella-artois-269-ml-3155262/p,exito,stella artois
Cerveza STELLA ARTOIS botella six pack (1800 ml),$ 21.930,$ 25.800,15,/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,carulla,stella artois
Cerveza STELLA ARTOIS lata (1614 ml),$ 22.800,NA,NA,/cerveza-belgica-lata-x6-stella-artois-1614-ml-3155263/p,carulla,stella artois
Cerveza STELLA ARTOIS lata (269 ml),$ 3.800,$ 3.930,NA,/cerveza-belgica-lata-stella-artois-269-ml-3155262/p,carulla,stella artois
Cerveza STELLA ARTOIS botella (300 ml),$ 4.800,NA,NA,/cerveza-belgica-botella-stella-artois-300-ml-3155261/p,carulla,stella artois
