supermercado,marca,presentacion,precio,motivo_descarte
Éxito,Club Colombia,Combo Mundial 2 Cerveza CLUB COLOMBIA lata dorada (1980 + Pasabocas DETODITO de BBQ (165 gr) + Maní LA ESPECIAL con sal (180 gr),37947,no es cerveza / combo
Éxito,Club Colombia,Clob X Clobetasol Propionato .05% (P/V)/0 Cha Topica Caj 1 Fra 125 Ml,161373,no es la marca buscada
Éxito,Club Colombia,Piñatas Clubes De Futbol De Colombia + Kit De Fiesta GENERICO,54900,no es la marca buscada
Carulla,Michelob,Llanta Michelin Agilis 3 215/65R16c 8 106/104T MICHELIN,758900,no es la marca buscada
Carulla,Michelob,Llanta Michelin Pilot Sport Cup 2R Connect K1(Ferrari) 245/35Zr20 Xl 95Y MICHELIN,1344900,no es la marca buscada
Carulla,Michelob,"Llanta Michelin Pilot Sport 4 Suv Jlr, Jaguar, Land Rover 235/50R20 Xl 104Xl, Vol, MICHELIN",1122900,no es la marca buscada
Carulla,Michelob,Llanta Michelin Primacy 4 195/65R15 Sl 91H MICHELIN,502900,no es la marca buscada
Carulla,Michelob,Llanta Michelin Pilot Sport 5 225/45Zr19 Xl 96Y MICHELIN,1018900,no es la marca buscada
Carulla,Michelob,Llanta Michelin Pilot Sport 5 265/35Zr18 Xl 97Y MICHELIN,1011900,no es la marca buscada
Carulla,Michelob,"Llanta Michelin Pilot Sport 4S N0,(Porsche) 305/30Zr20 Xl,N0(Porsche) 103Y MICHELIN",1895900,no es la marca buscada
Carulla,Club Colombia,Clob X Clobetasol Propionato .05% (P/V)/0 Cha Topica Caj 1 Fra 125 Ml,161373,no es la marca buscada
Jumbo,Club Colombia,Cerveza Club Colombia Lata 6 Unidades 473 C-U,29400,sin volumen en ml
