supermercado,marca,presentacion,envase,unidades,ml_unidad,ml_total,precio,precio_ml,precio_ml_sitio,enlace,fecha_consulta
Éxito,Stella Artois,Cerveza STELLA ARTOIS botella six pack (1800 ml),botella,6,300,1800,18720,10.4,10.4,https://www.exito.com/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,2026-09-16 19:15:24
Éxito,Stella Artois,Cerveza STELLA ARTOIS lata (1614 ml),lata,1,1614,1614,22800,14.12639405204461,14.13,https://www.exito.com/cerveza-belgica-lata-x6-stella-artois-1614-ml-3155263/p,2026-09-16 19:15:24
Éxito,Stella Artois,Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),botella,24,330,7920,92664,11.7,NA,https://www.exito.com/cerveza-stella-artois-botella-x-24-unds--7-920-ml-/p,2026-09-16 19:15:24
Éxito,Stella Artois,Cerveza STELLA ARTOIS botella (300 ml),botella,1,300,300,4150,13.833333333333334,13.83,https://www.exito.com/cerveza-belgica-botella-stella-artois-300-ml-3155261/p,2026-09-16 19:15:24
Éxito,Stella Artois,Cerveza STELLA ARTOIS lata (269 ml),lata,1,269,269,3800,14.12639405204461,14.13,https://www.exito.com/cerveza-belgica-lata-stella-artois-269-ml-3155262/p,2026-09-16 19:15:24
Éxito,Club Colombia,Cerveza CLUB COLOMBIA lata dorada (1980 ml),lata,1,1980,1980,22200,11.212121212121213,11.21,https://www.exito.com/cerveza-x-6-lata-dorada-club-colombia-446650/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,lata,6,330,1980,18870,9.530303030303031,9.53,https://www.exito.com/cerveza-x-6-lata-roja-club-colombia-703079/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA trigo six pack (1980 ml),sin dato,6,330,1980,23400,11.818181818181818,11.82,https://www.exito.com/cerveza-club-colombia-cerveza-trigo-1980-ml-3188965/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza DORADA CLUB COLOMBIA LATA x 24 unds (7.920 ml),lata,24,330,7920,87912,11.1,NA,https://www.exito.com/cerveza--dorada-club-colombia-lata-x-24-unds--7-920-ml-/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),botella,6,330,1980,26850,13.56060606060606,13.56,https://www.exito.com/cerveza-dorada-sixpack-en-botellla-x-330-ml-cu-713927/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),sin dato,6,473,2838,30300,10.676532769556026,10.68,https://www.exito.com/cerveza-club-colombia-laton-cerveza-2838-ml-3176316/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA lata dorada (330 ml),lata,1,330,330,3800,11.515151515151516,11.52,https://www.exito.com/cerveza-lata-dorada-446651/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA trigo (330 ml),sin dato,1,330,330,3900,11.818181818181818,11.82,https://www.exito.com/cerveza-club-colombia-cerveza-trigo-330-ml-3188964/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA lata roja (330 ml),lata,1,330,330,3700,11.212121212121213,11.21,https://www.exito.com/cerveza-lata-roja-702071/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA botella dorada (330 ml),botella,1,330,330,4480,13.575757575757576,13.58,https://www.exito.com/cerveza-dorada-en-botella-x-330-ml-713925/p,2026-09-16 19:15:43
Éxito,Club Colombia,Cerveza CLUB COLOMBIA latón dorada (473 ml),sin dato,1,473,473,5050,10.676532769556026,10.68,https://www.exito.com/cerveza-club-colombia-laton-cerveza-473-ml-3176315/p,2026-09-16 19:15:43
Éxito,Club Colombia,Buchanan's Deluxe 750 ml + Gratis Six Pack Club Colombia Dorada Lata 330 ml,lata,6,750,4500,200178,44.484,NA,https://www.exito.com/buchanan-s-deluxe-750-ml---gratis-six-pack-club-colombia-dorada-lata-330-ml/p,2026-09-16 19:15:43
Carulla,Michelob,Cerveza MICHELOB ULTRA sixpack (1980 ml),sin dato,6,330,1980,18900,9.545454545454545,9.55,https://www.carulla.com/cerveza-ultra-nrb-330-x6-michelob-ultra-cerveza-ultra-nrb-330-x6-198-ml-3243361/p,2026-09-16 19:16:05
Carulla,Michelob,Cerveza MICHELOB ULTRA six pack (1614 ml),sin dato,6,269,1614,16700,10.346964064436184,10.35,https://www.carulla.com/cerveza-michelob-ultra-internacional-1614-ml-3189430/p,2026-09-16 19:16:05
Carulla,Michelob,Cerveza MICHELOB ULTRA internacional (269 ml),sin dato,1,269,269,3000,11.152416356877323,11.15,https://www.carulla.com/cerveza-michelob-ultra-internacional-269-ml-3189429/p,2026-09-16 19:16:05
Carulla,Michelob,Cerveza MICHELOB ULTRA botella (330 ml),botella,1,330,330,3600,10.909090909090908,10.91,https://www.carulla.com/cerveza-ultra-nrb-michelob-ultra-cerveza-ultra-nrb-330-ml-3243360/p,2026-09-16 19:16:05
Carulla,Stella Artois,Cerveza STELLA ARTOIS botella six pack (1800 ml),botella,6,300,1800,20640,11.466666666666667,11.47,https://www.carulla.com/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,2026-09-16 19:16:25
Carulla,Stella Artois,Cerveza STELLA ARTOIS lata (1614 ml),lata,1,1614,1614,22800,14.12639405204461,14.13,https://www.carulla.com/cerveza-belgica-lata-x6-stella-artois-1614-ml-3155263/p,2026-09-16 19:16:25
Carulla,Stella Artois,Cerveza STELLA ARTOIS lata (269 ml),lata,1,269,269,3800,14.12639405204461,14.13,https://www.carulla.com/cerveza-belgica-lata-stella-artois-269-ml-3155262/p,2026-09-16 19:16:25
Carulla,Stella Artois,Cerveza STELLA ARTOIS botella (300 ml),botella,1,300,300,4400,14.666666666666666,14.67,https://www.carulla.com/cerveza-belgica-botella-stella-artois-300-ml-3155261/p,2026-09-16 19:16:25
Carulla,Stella Artois,Cerveza STELLA ARTOIS botella (330 ml),botella,1,330,330,5300,16.060606060606062,16.06,https://www.carulla.com/cerveza-belgica-botella-stella-artois-330-ml-3026045/p,2026-09-16 19:16:25
Carulla,Club Colombia,Cerveza CLUB COLOMBIA lata dorada (1980 ml),lata,1,1980,1980,22200,11.212121212121213,11.21,https://www.carulla.com/cerveza-x-6-lata-dorada-club-colombia-446650/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,lata,6,330,1980,18870,9.530303030303031,9.53,https://www.carulla.com/cerveza-x-6-lata-roja-club-colombia-703079/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA trigo six pack (1980 ml),sin dato,6,330,1980,23400,11.818181818181818,11.82,https://www.carulla.com/cerveza-club-colombia-cerveza-trigo-1980-ml-3188965/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),botella,6,330,1980,27700,13.98989898989899,13.99,https://www.carulla.com/cerveza-dorada-sixpack-en-botellla-x-330-ml-cu-713927/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA trigo (330 ml),sin dato,1,330,330,3900,11.818181818181818,11.82,https://www.carulla.com/cerveza-club-colombia-cerveza-trigo-330-ml-3188964/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA lata dorada (330 ml),lata,1,330,330,3800,11.515151515151516,11.52,https://www.carulla.com/cerveza-lata-dorada-446651/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA lata negra (330 ml),lata,1,330,330,3900,11.818181818181818,11.82,https://www.carulla.com/cerveza-negra-lata-x-330-ml-34986/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA latón dorada six pack (2838 ml),sin dato,6,473,2838,31900,11.24031007751938,11.24,https://www.carulla.com/cerveza-club-colombia-laton-cerveza-2838-ml-3176316/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA botella dorada (330 ml),botella,1,330,330,4700,14.242424242424242,14.24,https://www.carulla.com/cerveza-dorada-en-botella-x-330-ml-713925/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA lata roja (330 ml),lata,1,330,330,3700,11.212121212121213,11.21,https://www.carulla.com/cerveza-lata-roja-702071/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA latón dorada (473 ml),sin dato,1,473,473,5400,11.416490486257928,11.42,https://www.carulla.com/cerveza-club-colombia-laton-cerveza-473-ml-3176315/p,2026-09-16 19:16:44
Carulla,Club Colombia,Cerveza CLUB COLOMBIA lata negra (1980 ml),lata,1,1980,1980,22200,11.212121212121213,11.21,https://www.carulla.com/cerveza-x6-lata-negra-276293/p,2026-09-16 19:16:44
Jumbo,Stella Artois,Cerveza Stella Artois Botella Sixpack x300ml c-u,botella,6,300,1800,25290,14.05,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-botella-sixpack-x300ml-c-u/p,2026-09-16 19:17:30
Jumbo,Stella Artois,Cerveza Stella Artois Sixpack Lata x269ml c-u,lata,6,269,1614,24590,15.23543990086741,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-sixpack-lata-x269ml-c-u/p,2026-09-16 19:17:30
Jumbo,Stella Artois,Cerveza Stella Artois Botella x300ml,botella,1,300,300,4500,15,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-botella-x300ml/p,2026-09-16 19:17:30
Jumbo,Stella Artois,Cerveza Stella Artois botella x330ml,botella,1,330,330,5100,15.454545454545455,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-bot-x330ml-3453901/p,2026-09-16 19:17:30
Jumbo,Stella Artois,Cerveza Stella Artois Lata x269ml,lata,1,269,269,4090,15.20446096654275,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-lata-x269ml/p,2026-09-16 19:17:30
Jumbo,Club Colombia,Cerveza Club Colombia Dorada lata x6und x330ml c-u,lata,6,330,1980,22800,11.515151515151516,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-dorada-lata-x-330ml-sixpack/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Trigo Lata 330ml x6 Und,lata,6,330,1980,23990,12.116161616161616,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-trigo-lata-330ml-x6-und/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Roja lata x6und x330ml,lata,6,330,1980,22800,11.515151515151516,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-roja-lata-sixpack-x-330-ml/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Dorada x6und x330ml c-u,sin dato,6,330,1980,24550,12.3989898989899,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-sixpack-botella-x-330-ml/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Trigo Lata 330ml x1 Und,lata,1,330,330,3690,11.181818181818182,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-trigo-lata-330ml-x1-und/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Roja lata x330ml,lata,1,330,330,3790,11.484848484848484,NA,https://www.tiendasjumbo.co/cerveza-roja-club-colombia-lata-x-330-ml/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Dorada lata x330ml,lata,1,330,330,3790,11.484848484848484,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-lata-x-330ml/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Dorada botella x330ml,botella,1,330,330,4090,12.393939393939394,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-botella-x-330-ml/p,2026-09-16 19:17:54
Jumbo,Club Colombia,Cerveza Club Colombia Lata 473 ml,lata,1,473,473,4290,9.069767441860465,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-lata-473-ml/p,2026-09-16 19:17:54
