supermercado,marca_buscada,termino,url_busqueda,fecha_consulta,presentacion,precio,precio_ml_sitio,enlace
Éxito,Stella Artois,stella artois,https://www.exito.com/s?q=stella%20artois,2026-09-16 19:15:24,Cerveza STELLA ARTOIS botella six pack (1800 ml),18720,10.4,https://www.exito.com/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p
Éxito,Stella Artois,stella artois,https://www.exito.com/s?q=stella%20artois,2026-09-16 19:15:24,Cerveza STELLA ARTOIS lata (1614 ml),22800,14.13,https://www.exito.com/cerveza-belgica-lata-x6-stella-artois-1614-ml-3155263/p
Éxito,Stella Artois,stella artois,https://www.exito.com/s?q=stella%20artois,2026-09-16 19:15:24,Cerveza STELLA ARTOIS botella x 24 unds (7.920 ml),92664,NA,https://www.exito.com/cerveza-stella-artois-botella-x-24-unds--7-920-ml-/p
Éxito,Stella Artois,stella artois,https://www.exito.com/s?q=stella%20artois,2026-09-16 19:15:24,Cerveza STELLA ARTOIS botella (300 ml),4150,13.83,https://www.exito.com/cerveza-belgica-botella-stella-artois-300-ml-3155261/p
Éxito,Stella Artois,stella artois,https://www.exito.com/s?q=stella%20artois,2026-09-16 19:15:24,Cerveza STELLA ARTOIS lata (269 ml),3800,14.13,https://www.exito.com/cerveza-belgica-lata-stella-artois-269-ml-3155262/p
Éxito,Club Colombia,club colombia,https://www.exito.com/s?q=club%20colombia,2026-09-16 19:15:43,Cerveza CLUB COLOMBIA lata dorada (1980 ml),22200,11.21,https://www.exito.com/cerveza-x-6-lata-dorada-club-colombia-446650/p
Éxito,Club Colombia,club colombia,https://www.exito.com/s?q=club%20colombia,2026-09-16 19:15:43,Cerveza X 6 LATA ROJA CLUB COLOMBIA 1980 ml,18870,9.53,https://www.exito.com/cerveza-x-6-lata-roja-club-colombia-703079/p
Éxito,Club Colombia,club colombia,https://www.exito.com/s?q=club%20colombia,2026-09-16 19:15:43,Cerveza CLUB COLOMBIA trigo six pack (1980 ml),23400,11.82,https://www.exito.com/cerveza-club-colombia-cerveza-trigo-1980-ml-3188965/p
Éxito,Club Colombia,club colombia,https://www.exito.com/s?q=club%20colombia,2026-09-16 19:15:43,Cerveza DORADA CLUB COLOMBIA LATA x 24 unds (7.920 ml),87912,NA,https://www.exito.com/cerveza--dorada-club-colombia-lata-x-24-unds--7-920-ml-/p
Éxito,Club Colombia,club colombia,https://www.exito.com/s?q=club%20colombia,2026-09-16 19:15:43,Cerveza CLUB COLOMBIA botella dorada six pack (1980 ml),26850,13.56,https://www.exito.com/cerveza-dorada-sixpack-en-botellla-x-330-ml-cu-713927/p
